coursesId,usersId
3,5
3,6
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,38
3,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,52
5,66
5,68
5,69
5,81
5,82
5,85
5,86
5,87
5,88
5,91
5,92
5,105
5,106
5,115
7,4
7,129
9,66
9,105
9,121
9,122
9,123
9,124
9,125
9,127
9,128
10,54
11,131
