id,created_at,updated_at,activity,reference,expiry,userId
1045,2021-03-25 20:55:40.332731,2021-03-25 20:55:40.332731,Logged in,67ae11d6668d272cd83347a9e33eca1c,2022-03-26 02:55:40,2
1046,2021-03-26 12:12:55.171977,2021-03-26 12:12:55.171977,Logged in,5d40d7cee20c6efd8e9bfd313374a042,2022-03-26 18:12:55,2
1047,2021-03-28 16:01:51.515186,2021-03-28 16:01:51.515186,Logged in,9bc4fe58e6da787b4d07ad3867ba0b84,2022-03-28 22:01:52,3
1048,2021-03-28 17:44:33.663573,2021-03-28 17:44:33.663573,Logged in,a3d2ebbe96fdc4a7d53df9eddde32589,2022-03-28 23:44:34,2
1049,2021-03-28 17:47:00.828193,2021-03-28 17:47:00.828193,Logged in,3a1022b59fb2b09f53374ed1dcc6d0ad,2022-03-28 23:47:01,111
1050,2021-03-28 17:47:12.094977,2021-03-28 17:47:12.094977,Logged in,380143d453ca69adbcd3ce6f362f74e8,2022-03-28 23:47:12,67
1051,2021-03-28 17:47:18.910945,2021-03-28 17:47:18.910945,Accessed Session 1 Recap - Write Up from Intro to Game Dev with Unity repo [access:74bc4bdc5d2::rrtGJAd2ae1e],a125afd5ba094f34b6815515f69fc981,2022-03-28 23:47:19,111
1052,2021-03-28 17:47:19.206521,2021-03-28 17:47:19.206521,Accessed Session 1 Recap - Write Up from Intro to Game Dev with Unity repo [access:74bc4bdc5d2::rrtGJAd2ae1e],e421035d1eee8f9b9a31ab1239cf9750,2022-03-28 23:47:19,111
1053,2021-03-30 00:57:09.335995,2021-03-30 00:57:09.335995,Logged in,7ed7e92a962f012bb1cd5762584dbe4f,2022-03-30 06:57:09,105
1054,2021-03-30 00:57:38.001199,2021-03-30 00:57:38.001199,Accessed Session 2 Recap from Intro to Game Dev with Unity repo [access:918a4f912a1::rrtGJAd2ae1e],3620fc200b4722e7e3f0838c4a3e6b7e,2022-03-30 06:57:38,105
1055,2021-03-30 00:59:20.249200,2021-03-30 00:59:20.249200,Accessed Session 2 - Starter Files from Intro to Game Dev with Unity repo [access:1a82c08473b::rrtGJAd2ae1e],49b79c52d22cc41094644bc0c8e92384,2022-03-30 06:59:20,105
1056,2021-03-30 01:03:37.357770,2021-03-30 01:03:37.357770,Accessed Session 3 Recap from Intro to Game Dev with Unity repo [access:5b3cf9ac46f::rrtGJAd2ae1e],b220a2c3e76c0c42984ff1aafa442105,2022-03-30 07:03:37,105
1057,2021-03-30 01:05:27.190829,2021-03-30 01:05:27.190829,Accessed Session 3 - Starter Files from Intro to Game Dev with Unity repo [access:dd9df1d2f3c::rrtGJAd2ae1e],70dbd1c80a39e61923e09a997be8fa7e,2022-03-30 07:05:27,105
1058,2021-03-30 07:14:00.501205,2021-03-30 07:14:00.501205,Logged in,a0918e6d58709fd6290ab7d18fc50fe2,2022-03-30 13:14:00,67
1059,2021-03-30 07:16:57.737816,2021-03-30 07:16:57.737816,Accessed Session 5 - Starter Files from Intro to Game Dev with Unity repo [access:3aadbfd9eca::rrtGJAd2ae1e],4c2337865991e3d6c0fa489222f1b389,2022-03-30 13:16:58,67
1060,2021-03-30 07:42:47.464679,2021-03-30 07:42:47.464679,Logged in,3160d40384896528dd6f1f56909e1461,2022-03-30 13:42:47,67
1061,2021-03-30 09:50:08.707393,2021-03-30 09:50:08.707393,Logged in,1e09bf63514a6917c603a786c705e054,2022-03-30 15:50:09,2
1062,2021-03-30 10:10:26.161206,2021-03-30 10:10:26.161206,Accessed Session Four Recap from Intro to Game Dev with Unity repo [access:b4aec5f066b::rrtGJAd2ae1e],cc1392f8df8225d984dddfd03b9d0fa2,2022-03-30 16:10:26,2
1063,2021-03-30 13:54:01.472970,2021-03-30 13:54:01.472970,Logged in,e7b00c4dc534b64f71a645f56ade9a7a,2022-03-30 19:54:01,1
1064,2021-03-30 13:54:26.045679,2021-03-30 13:54:26.045679,Logged in,516fa8c53327ac3e7815b30adcb02a88,2022-03-30 19:54:26,67
1065,2021-03-30 17:40:23.475560,2021-03-30 17:40:23.475560,Logged in,8dfc2b874dac20139954d69b3a6ad212,2022-03-30 23:40:23,67
1066,2021-03-30 17:45:23.585186,2021-03-30 17:45:23.585186,Accessed Session Four Recap from Intro to Game Dev with Unity repo [access:b4aec5f066b::rrtGJAd2ae1e],895361100d20afde5f00af045c163e9e,2022-03-30 23:45:24,67
1067,2021-03-30 17:59:33.767625,2021-03-30 17:59:33.767625,Logged in,453344bf03f7506835d3c76e64cb61a4,2022-03-30 23:59:34,105
1068,2021-03-30 17:59:41.253008,2021-03-30 17:59:41.253008,Logged in,adfa9311bead788cdb28c960269b3eb2,2022-03-30 23:59:41,111
1069,2021-03-30 17:59:53.210727,2021-03-30 17:59:53.210727,Accessed Session 5 - Starter Files from Intro to Game Dev with Unity repo [access:3aadbfd9eca::rrtGJAd2ae1e],3135964b8339cfa4b245cefb4a8df585,2022-03-30 23:59:53,105
1070,2021-03-30 18:01:20.994309,2021-03-30 18:01:20.994309,Logged in,dbc13c809069173f097d2d485be768ea,2022-03-31 00:01:21,69
1071,2021-03-30 18:02:00.265181,2021-03-30 18:02:00.265181,Accessed Session 5 - Starter Files from Intro to Game Dev with Unity repo [access:3aadbfd9eca::rrtGJAd2ae1e],5e9de60b2e77137118bc72e7b58cd5fe,2022-03-31 00:02:00,69
